"vOTU","GENOME_LENGTH","CHECKV_QUALITY","LIFE_CYCLE","TOTAL_METAGENOME_PRESENCE","METATRANSCRIPTOME_PRESENCE","DNA_VIROME_PRESENCE","HOST_GENBANK_ACCESSION","HOST_GENUS","HOST_NAME","VC","SUBCLUSTER","REF_PHAGES_IN_VC","VC_IDENTITY","FAMILY","SPECIES","C1RH","C1S","C2RH","C2S","C3RH","C3S","C4RH","C4S","V1RH","V1S","V2RH","V2S","V3RH","V3S","V4RH","V4S"
"dsDNA_phage_158",22222,"Low-quality","LYTIC",0,0,1,NA,NA,NA,292,0,"YES","VC","Siphoviridae",NA,0,0,0,0,0,0,1007,0,0,0,0,0,0,0,0,0
"dsDNA_phage_159",21668,"Medium-quality","LYTIC",0,0,1,NA,NA,NA,162,0,"NO","VC",NA,NA,0,0,846,0,41601,0,0,0,0,0,0,0,0,0,0,0
"dsDNA_phage_16",11076,"Low-quality","LYTIC",1,0,0,"GCA_000215705.1","Ramlibacter","Ramlibacter tataouinensis TTB310",183,0,"NO","OUTLIER",NA,NA,0,0,501,0,414,0,0,0,0,0,0,0,0,0,0,0
"dsDNA_phage_160",51920,"Medium-quality","LYTIC",0,0,1,NA,NA,NA,1129,1,"NO","VC",NA,NA,0,0,0,0,0,0,0,0,10673,0,1879,0,0,0,0,0
"dsDNA_phage_161",26381,"Low-quality","LYTIC",0,0,1,NA,NA,NA,1129,0,"NO","VC",NA,NA,0,0,0,0,0,0,0,0,0,0,0,21877,0,0,0,0
"dsDNA_phage_162",31806,"Medium-quality","LYTIC",0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,9083,0,0,0,0,0,0,0,0,0
"dsDNA_phage_163",23847,"Low-quality","LYTIC",0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,2534,0,0,0
"dsDNA_phage_164",22023,"Not-determined","LYTIC",0,0,1,"GCA_001612705.1","Pseudomonas","Pseudomonas fluorescens",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dsDNA_phage_165",18137,"Low-quality","LYTIC",0,0,1,"GCA_001542625.2","Streptomyces","Streptomyces griseochromogenes",1464,0,"NO","VC",NA,NA,0,0,0,0,554,0,1026,0,0,0,0,0,0,0,0,0
"dsDNA_phage_166",21111,"Low-quality","LYTIC",0,0,1,NA,NA,NA,1469,0,"NO","VC",NA,NA,0,0,0,0,0,0,0,0,3325,0,569,0,1384,0,0,0
"dsDNA_phage_167",11358,"Low-quality","LYTIC",0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,699,0,0,0,0,0,0,0
"dsDNA_phage_168",15542,"Low-quality","LYTIC",0,0,1,"GCA_001263205.1","Labilithrix","Labilithrix luteola",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1068,0,230,0,612,0,0,0
"dsDNA_phage_169",12748,"Low-quality","LYTIC",0,0,1,NA,NA,NA,1474,0,"NO","VC",NA,NA,0,0,390,0,208,0,454,0,0,0,0,0,0,0,0,0
"dsDNA_phage_17",42026,"Low-quality","LYTIC",1,0,1,"GCA_001263205.1","Labilithrix","Labilithrix luteola",1475,0,"NO","VC",NA,NA,0,0,0,0,0,0,4676,0,0,0,0,0,0,0,0,0
"dsDNA_phage_170",15261,"Low-quality","LYTIC",0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,2611,0,0,0,0,0,0,0,0,0
"dsDNA_phage_171",19034,"Low-quality","LYTIC",0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,937,0,0,0,0,0,0,0,0,0
"dsDNA_phage_172",13533,"Low-quality","LYTIC",0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,1045,0,0,0,0,0,0,0,0,0
"dsDNA_phage_173",63278,"Complete","TEMPERATE",0,0,1,NA,NA,NA,358,0,"YES","VC","Podoviridae",NA,0,0,0,0,0,0,0,0,26817,0,1296,0,0,0,0,0
"dsDNA_phage_174",23243,"Low-quality","LYTIC",0,0,1,NA,NA,NA,1129,0,"NO","VC",NA,NA,0,0,0,0,0,0,0,0,0,0,0,25862,0,0,0,0
"dsDNA_phage_175",170010,"Complete","TEMPERATE",0,0,1,NA,NA,NA,277,0,"YES","VC","Myoviridae","Unclassified Mosigvirus",0,0,0,192647,0,0,0,0,0,716159,0,0,0,0,0,0
"dsDNA_phage_176",22919,"Low-quality","LYTIC",0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,2178,0,0,0
"dsDNA_phage_177",24368,"Low-quality","LYTIC",0,0,1,"GCA_001302585.1","Kibdelosporangium","Kibdelosporangium phytohabitans",948,0,"NO","OUTLIER",NA,NA,0,0,860,0,3680,0,0,0,0,0,0,0,0,0,0,0
"dsDNA_phage_178",26328,"Low-quality","LYTIC",0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,1409,0,0,0,0,0,0,0,0,0
"dsDNA_phage_179",13073,"Not-determined","LYTIC",0,0,1,"GCA_002874965.1","Pseudomonas","Pseudomonas sp. NC02",1476,0,"NO","OUTLIER",NA,NA,0,0,0,0,0,0,0,0,0,0,0,136,0,0,0,0
"dsDNA_phage_18",15692,"Low-quality","LYTIC",1,0,0,"GCA_002831645.1","Olleya","Olleya sp. Bg11-27",NA,NA,NA,NA,NA,NA,0,0,535,0,0,0,0,0,0,0,0,0,0,0,0,0
"dsDNA_phage_180",10768,"Not-determined","LYTIC",0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,1451,0,0,0,0
"dsDNA_phage_181",10941,"Not-determined","LYTIC",0,0,1,"GCA_001708465.1","Pseudomonas","Pseudomonas fluorescens",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,2552,0,0,0,0
"dsDNA_phage_182",36702,"Low-quality","LYTIC",0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,1901,0,0,0,0,0,0,0,0,0
"dsDNA_phage_183",11638,"Not-determined","LYTIC",0,0,1,"GCA_001708445.1","Pseudomonas","Pseudomonas fluorescens",1477,0,"NO","VC",NA,NA,0,0,0,0,0,0,0,0,0,0,0,4225,0,0,0,0
"dsDNA_phage_184",22706,"Low-quality","TEMPERATE",0,0,1,NA,NA,NA,1478,0,"NO","VC",NA,NA,0,0,0,0,0,0,950,0,0,0,0,0,0,0,0,0
"dsDNA_phage_185",12100,"Low-quality","LYTIC",0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,187,0,541,0,0,0,0,0,0,0,0,0
"dsDNA_phage_186",10421,"Not-determined","LYTIC",0,0,1,"GCA_000934565.1","Pseudomonas","Pseudomonas fluorescens",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,1558,0,0,0,0
"dsDNA_phage_187",26786,"Low-quality","LYTIC",0,0,1,"GCA_001302585.1","Kibdelosporangium","Kibdelosporangium phytohabitans",1479,0,"NO","VC",NA,NA,0,637,2246,0,8286,0,0,0,0,0,0,0,0,0,0,0
"dsDNA_phage_188",25297,"Low-quality","LYTIC",0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,361,0,3923,0,0,0,0,0,0,0,0,0
"dsDNA_phage_189",10234,"Low-quality","LYTIC",0,0,1,NA,NA,NA,990,0,"NO","VC",NA,NA,0,516,0,0,0,0,0,0,0,0,0,20746,0,0,0,0
"dsDNA_phage_19",11519,"Not-determined","LYTIC",1,0,0,"GCA_001263205.1","Labilithrix","Labilithrix luteola",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,117,0,0,0,333,0,0,0
"dsDNA_phage_190",21140,"Low-quality","LYTIC",0,0,1,NA,NA,NA,1167,0,"NO","VC",NA,NA,49,43,0,0,140,8,196,0,0,0,0,0,0,0,0,0
"dsDNA_phage_191",39633,"Medium-quality","LYTIC",0,0,1,NA,NA,NA,162,0,"NO","VC",NA,NA,0,0,0,0,0,0,837,0,1780,0,0,49726,0,0,0,0
"dsDNA_phage_192",16642,"Low-quality","LYTIC",0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,309,0,0,136,0,0,0,22519,0,1837,0,0,0,0,0
"dsDNA_phage_193",21758,"Low-quality","LYTIC",0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,4141,0,336,0,0,0,0,0
"dsDNA_phage_194",20386,"Low-quality","LYTIC",0,0,1,"GCA_000020525.1","Chloroherpeton","Chloroherpeton thalassium ATCC 35110",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,501,0,0,0,1978,0,0,0
"dsDNA_phage_195",13502,"Not-determined","LYTIC",0,0,1,"GCA_002874965.1","Pseudomonas","Pseudomonas sp. NC02",1471,0,"NO","VC",NA,NA,0,0,0,0,0,0,0,0,0,0,0,2301,0,0,0,0
"dsDNA_phage_196",34034,"Medium-quality","TEMPERATE",0,0,1,NA,NA,NA,973,0,"NO","VC",NA,NA,0,0,0,0,0,0,0,0,0,0,1396,0,11911,0,0,0
"dsDNA_phage_197",42450,"Medium-quality","LYTIC",0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,9068,0,0,0,0,0,0,0,0,0
"dsDNA_phage_198",29590,"Low-quality","TEMPERATE",0,0,1,NA,NA,NA,1087,0,"YES","OUTLIER",NA,NA,0,0,0,0,0,0,5482,0,0,0,0,0,0,0,0,0
"dsDNA_phage_199",15509,"Low-quality","LYTIC",0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,580,0,665,0,0,0,0,0,0,0,0,0
"dsDNA_phage_2",36059,"Low-quality","LYTIC",1,1,0,"GCA_001263205.1","Labilithrix","Labilithrix luteola",NA,NA,NA,NA,NA,NA,2977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dsDNA_phage_20",12388,"Low-quality","LYTIC",1,0,0,"GCA_000263795.2","Hydrogenophaga","Hydrogenophaga sp. PBC",NA,NA,NA,NA,NA,NA,959,0,316,0,284,0,1148,111,0,0,0,0,0,0,0,0
"dsDNA_phage_200",10601,"Low-quality","LYTIC",0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,663,0,103,0,0,0,0,0
"dsDNA_phage_201",14837,"Low-quality","LYTIC",0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,1167,0,0,0
"dsDNA_phage_202",12164,"Not-determined","LYTIC",0,0,1,"GCA_002128325.1","Pseudomonas","Pseudomonas fragi",1480,0,"NO","VC",NA,NA,0,0,0,0,0,0,0,0,0,0,0,1522,0,0,0,0
"dsDNA_phage_203",13428,"Low-quality","LYTIC",0,0,1,NA,NA,NA,1049,0,"NO","VC",NA,NA,0,0,0,0,1207,0,228,0,2199,0,211,0,525,0,0,0
"dsDNA_phage_204",23564,"Low-quality","LYTIC",0,0,1,NA,NA,NA,1418,0,"NO","VC",NA,NA,0,0,0,0,0,0,0,0,0,0,0,15682,0,0,0,0
"dsDNA_phage_205",23260,"Not-determined","LYTIC",0,0,1,"GCA_002874965.1","Pseudomonas","Pseudomonas sp. NC02",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,11502,0,0,0,0
"dsDNA_phage_206",10512,"Not-determined","LYTIC",0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,498,0,0,0,0,0,0,0
"dsDNA_phage_207",12319,"Low-quality","LYTIC",0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,23338,0,0,0,0
"dsDNA_phage_208",14655,"Not-determined","LYTIC",0,0,1,"GCA_001612705.1","Pseudomonas","Pseudomonas fluorescens",NA,NA,NA,NA,NA,NA,0,636,0,0,0,0,0,0,0,0,0,13426,0,0,0,0
"dsDNA_phage_209",18092,"Low-quality","LYTIC",0,0,1,"GCA_002355415.1","Sulfurifustis","Sulfurifustis variabilis",NA,NA,NA,NA,NA,NA,616,0,0,0,183,0,1290,0,0,0,0,0,0,0,0,0
"dsDNA_phage_21",11273,"Low-quality","LYTIC",1,0,0,NA,NA,NA,1472,0,"NO","OUTLIER",NA,NA,5679,183,4372,795,11964,619,692,0,0,0,0,0,0,0,0,0
"dsDNA_phage_210",11577,"Not-determined","LYTIC",0,0,1,"GCA_002874965.1","Pseudomonas","Pseudomonas sp. NC02",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,5894,0,0,0,0
"dsDNA_phage_211",14244,"Low-quality","LYTIC",0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,199,0,0,0,0,0,0,599,0,0,0,0,0,0,0
"dsDNA_phage_212",20614,"Not-determined","LYTIC",0,0,1,"GCA_001708445.1","Pseudomonas","Pseudomonas fluorescens",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,5857,0,0,0,0
"dsDNA_phage_213",33288,"Medium-quality","LYTIC",0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,283,0,4686,0,0,0
"dsDNA_phage_214",15101,"Low-quality","LYTIC",0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,988,0,0,0,0,0,0,0,0,0
"dsDNA_phage_215",17939,"Not-determined","LYTIC",0,0,1,"GCA_002028325.1","Pseudomonas","Pseudomonas veronii",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,2060,0,0,0,0
"dsDNA_phage_216",44732,"Medium-quality","TEMPERATE",0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,3623,0,0,0
"dsDNA_phage_217",12059,"Low-quality","LYTIC",0,0,1,"GCA_000018265.1","Salinispora","Salinispora arenicola CNS-205",NA,NA,NA,NA,NA,NA,0,0,0,0,881,0,0,0,0,0,0,0,0,0,0,0
"dsDNA_phage_218",12860,"Not-determined","LYTIC",0,0,1,"GCA_000397205.1","Pseudomonas","Pseudomonas protegens CHA0",1473,0,"NO","VC",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dsDNA_phage_219",26929,"Low-quality","TEMPERATE",0,0,1,"GCA_000968415.1","Pseudomonas","Pseudomonas fluorescens",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dsDNA_phage_22",11547,"Not-determined","LYTIC",1,0,0,"GCA_002285795.1","Plantactinospora","Plantactinospora sp. KBS50",NA,NA,NA,NA,NA,NA,0,0,0,223,0,0,0,0,0,0,0,0,0,0,0,0
"dsDNA_phage_220",10138,"Not-determined","LYTIC",0,0,1,"GCA_002128325.1","Pseudomonas","Pseudomonas fragi",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,2645,0,0,0,0
"dsDNA_phage_221",12085,"Low-quality","LYTIC",0,0,1,NA,NA,NA,1129,0,"NO","VC",NA,NA,0,1342,0,0,0,0,0,0,782,0,146,3835,0,0,0,0
"dsDNA_phage_222",10256,"Low-quality","LYTIC",0,0,1,NA,NA,NA,1092,0,"NO","OUTLIER",NA,NA,0,233,4097,0,853,0,463,0,0,0,0,0,0,0,0,0
"dsDNA_phage_223",29072,"Low-quality","LYTIC",0,0,1,NA,NA,NA,1474,0,"NO","VC",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,2122,0,0,0
"dsDNA_phage_224",11189,"Not-determined","LYTIC",0,0,1,"GCA_002128325.1","Pseudomonas","Pseudomonas fragi",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,1070,0,0,0,0
"dsDNA_phage_225",13381,"Low-quality","LYTIC",0,0,1,NA,NA,NA,1466,0,"NO","VC",NA,NA,0,0,0,0,1693,0,4125,0,0,0,0,0,0,0,0,0
"dsDNA_phage_226",25113,"Low-quality","LYTIC",0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,4587,0,314,0,0,0,0,0
"dsDNA_phage_227",10236,"Not-determined","LYTIC",0,0,1,"GCA_001612705.1","Pseudomonas","Pseudomonas fluorescens",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,3040,0,0,0,0
"dsDNA_phage_228",14656,"Not-determined","LYTIC",0,0,1,"GCA_002128325.1","Pseudomonas","Pseudomonas fragi",1483,0,"NO","OUTLIER",NA,NA,0,0,0,0,0,0,0,0,0,0,0,9479,0,0,0,0
"dsDNA_phage_229",14746,"Low-quality","TEMPERATE",0,0,1,"GCA_000024345.1","Kribbella","Kribbella flavida DSM 17836",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,755,0,0,0,0,0,0,0,0,0
"dsDNA_phage_23",10636,"Low-quality","LYTIC",1,0,0,"GCA_001263205.1","Labilithrix","Labilithrix luteola",183,0,"NO","OUTLIER",NA,NA,0,0,0,0,0,0,0,0,117,0,0,0,362,0,0,0
"dsDNA_phage_230",10546,"Low-quality","LYTIC",0,0,1,"GCA_000014565.1","Rhodococcus","Rhodococcus jostii RHA1",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,129,0,1087,0,0,0
"dsDNA_phage_231",13241,"Not-determined","LYTIC",0,0,1,"GCA_002874965.1","Pseudomonas","Pseudomonas sp. NC02",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,8804,0,0,0,0
"dsDNA_phage_232",20637,"Not-determined","LYTIC",0,0,1,"GCA_000262325.2","Pseudomonas","Pseudomonas fluorescens A506",1484,0,"NO","VC",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dsDNA_phage_233",11104,"Low-quality","LYTIC",0,0,1,"GCA_002777535.1","Streptomyces","Streptomyces peucetius subsp. caesius ATCC 27952",NA,NA,NA,NA,NA,NA,0,0,0,0,351,0,1334,0,0,0,0,0,0,0,0,0
"dsDNA_phage_234",19496,"Low-quality","LYTIC",0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,1801,0,0,0,0,0,0,0,0,0
"dsDNA_phage_235",13618,"Not-determined","LYTIC",0,0,1,"GCA_002874965.1","Pseudomonas","Pseudomonas sp. NC02",1468,0,"NO","OUTLIER",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dsDNA_phage_236",12563,"Not-determined","LYTIC",0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,1522,0,0,0,0
"dsDNA_phage_237",13330,"Low-quality","LYTIC",0,0,1,"GCA_000015725.1","Methylibium","Methylibium petroleiphilum PM1",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,925,0,0,0,0,0,0,0,0,0
"dsDNA_phage_238",47770,"Medium-quality","TEMPERATE",0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,2110,0,25620,0,0,0
"dsDNA_phage_239",23823,"Not-determined","LYTIC",0,0,1,"GCA_002874965.1","Pseudomonas","Pseudomonas sp. NC02",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dsDNA_phage_24",12158,"Low-quality","LYTIC",1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dsDNA_phage_240",14067,"Not-determined","LYTIC",0,0,1,"GCA_001612705.1","Pseudomonas","Pseudomonas fluorescens",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dsDNA_phage_241",11686,"Low-quality","LYTIC",0,0,1,NA,NA,NA,1049,0,"NO","VC",NA,NA,0,0,0,0,143,0,229,0,1362,0,230,0,568,0,0,0
"dsDNA_phage_242",13595,"Low-quality","LYTIC",0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,707,0,0,0,0,0,0,0,0,0
"dsDNA_phage_243",13305,"Low-quality","LYTIC",0,0,1,"GCA_001650215.1","Streptomyces","Streptomyces sp. RTd22",609,0,"NO","OUTLIER",NA,NA,52,0,135,0,370,0,0,0,0,0,0,0,0,0,0,0
"dsDNA_phage_244",10697,"Not-determined","LYTIC",0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dsDNA_phage_245",10314,"Low-quality","LYTIC",0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,349,0,0,0
"dsDNA_phage_246",18638,"Not-determined","TEMPERATE",0,0,1,"GCA_002874965.1","Pseudomonas","Pseudomonas sp. NC02",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dsDNA_phage_247",13726,"Low-quality","TEMPERATE",0,0,1,NA,NA,NA,1485,0,"NO","VC",NA,NA,0,0,0,0,0,0,0,0,0,0,0,1333,0,0,0,0
"dsDNA_phage_248",12395,"Low-quality","LYTIC",0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,840,0,0,0,0,0,0,0,0,0
"dsDNA_phage_249",13392,"Low-quality","LYTIC",0,0,1,NA,NA,NA,1092,0,"NO","OUTLIER",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,878,0,0,0
"dsDNA_phage_25",13666,"Low-quality","LYTIC",1,0,0,"GCA_000025345.1","Geodermatophilus","Geodermatophilus obscurus DSM 43160",1442,0,"NO","OUTLIER",NA,NA,0,0,0,0,0,173,0,0,0,0,0,0,190,0,0,0
"dsDNA_phage_250",43053,"Medium-quality","TEMPERATE",0,0,1,NA,NA,NA,680,0,"YES","VC","Siphoviridae",NA,0,0,0,0,0,0,0,0,32178,0,15213,0,1051,0,0,0
"dsDNA_phage_251",11854,"Low-quality","LYTIC",0,0,1,"GCA_000017265.1","Phenylobacterium","Phenylobacterium zucineum HLK1",NA,NA,NA,NA,NA,NA,0,0,0,0,543,0,0,0,0,0,0,0,0,0,0,0
"dsDNA_phage_252",30077,"Low-quality","TEMPERATE",0,0,1,"GCA_000014565.1","Rhodococcus","Rhodococcus jostii RHA1",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,484,0,3908,0,0,0
"dsDNA_phage_253",15336,"Low-quality","LYTIC",0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,296,0,1124,0,0,0,0,0,0,0,0,0
"dsDNA_phage_254",19444,"Low-quality","LYTIC",0,0,1,"GCA_001302585.1","Kibdelosporangium","Kibdelosporangium phytohabitans",1167,0,"NO","VC",NA,NA,32,4,0,0,58,5,100,0,0,0,0,0,0,0,0,0
"dsDNA_phage_255",10637,"Not-determined","LYTIC",0,0,1,"GCA_001186335.1","Pseudomonas","Pseudomonas trivialis",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,3904,0,0,0,0
"dsDNA_phage_256",12306,"Low-quality","LYTIC",0,0,1,"GCA_000147815.3","Streptomyces","Streptomyces violaceusniger Tu 4113",NA,NA,NA,NA,NA,NA,666,0,796,0,1793,0,0,0,0,0,0,0,0,0,0,0
"dsDNA_phage_257",10524,"Not-determined","LYTIC",0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,589,0,0,0
"dsDNA_phage_258",10016,"Low-quality","LYTIC",0,0,1,"GCA_000661915.1","Pseudomonas","Pseudomonas stutzeri",291,0,"NO","VC",NA,NA,0,0,0,0,123,0,0,0,1528,0,132,0,0,0,0,0
"dsDNA_phage_259",15027,"Not-determined","TEMPERATE",0,0,1,"GCA_001579805.1","Pseudomonas","Pseudomonas azotoformans",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dsDNA_phage_26",23299,"Low-quality","LYTIC",1,0,1,NA,NA,NA,1152,0,"NO","VC",NA,NA,144,0,62,0,136,0,1364,0,0,0,0,0,0,0,0,0
"dsDNA_phage_260",41107,"Medium-quality","LYTIC",0,0,1,NA,NA,NA,1427,0,"NO","OUTLIER",NA,NA,0,0,0,0,0,0,21553,0,0,0,0,0,0,0,0,0
"dsDNA_phage_261",20393,"Low-quality","LYTIC",0,0,1,"GCA_002216065.1","Chryseobacterium","Chryseobacterium sp. T16E-39",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,1434,0,0,0
"dsDNA_phage_262",13166,"Low-quality","LYTIC",0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,819,0,0,0,0,0,0,0,0,0
"dsDNA_phage_263",11905,"Not-determined","LYTIC",0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,1856,0,0,0,0
"dsDNA_phage_264",11292,"Low-quality","TEMPERATE",0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,538,0,0,0,0,0,0,0,0,0
"dsDNA_phage_265",30930,"Low-quality","TEMPERATE",0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,2190,0,0,0,0,0,0,0
"dsDNA_phage_266",19596,"Not-determined","LYTIC",0,0,1,"GCA_001612705.1","Pseudomonas","Pseudomonas fluorescens",1486,0,"NO","VC",NA,NA,0,0,0,0,0,0,0,0,0,0,0,6655,0,0,0,0
"dsDNA_phage_267",14824,"Not-determined","LYTIC",0,0,1,"GCA_001612705.1","Pseudomonas","Pseudomonas fluorescens",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,3525,0,0,0,0
"dsDNA_phage_268",28325,"Low-quality","TEMPERATE",0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,407,0,0,0,0,0,1705,0,0,0
"dsDNA_phage_269",40924,"Medium-quality","LYTIC",0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,2319,0,0,0,0,0,0,0,0,0
"dsDNA_phage_27",56980,"Low-quality","LYTIC",1,0,0,NA,NA,NA,1488,0,"NO","OUTLIER",NA,NA,0,0,0,0,0,0,0,0,0,0,1246,0,2373,0,0,0
"dsDNA_phage_270",17309,"Low-quality","LYTIC",0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,1227,2360,0,24677,0,0,0
"dsDNA_phage_271",10616,"Not-determined","LYTIC",0,0,1,"GCA_002128325.1","Pseudomonas","Pseudomonas fragi",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,4424,0,0,0,0
"dsDNA_phage_272",11002,"Low-quality","LYTIC",0,0,1,NA,NA,NA,989,0,"NO","VC",NA,NA,0,322,0,0,0,0,0,0,0,0,0,32120,0,0,0,0
"dsDNA_phage_273",16041,"Low-quality","LYTIC",0,1,1,NA,NA,NA,1489,0,"NO","VC",NA,NA,1442,0,693,0,1331,0,0,0,0,0,0,0,0,0,0,0
"dsDNA_phage_274",16829,"Low-quality","LYTIC",0,0,1,NA,NA,NA,1427,0,"NO","OUTLIER",NA,NA,0,0,0,0,0,0,0,0,532,0,0,0,287,0,0,0
"dsDNA_phage_275",12311,"Low-quality","LYTIC",0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,254,0,318,0,0,0,0,0,0,0,0,0
